,,,,,
ingredient_name,common_brand_name,drug_class,use_case,pubmed_search_link,risk_category
"Abarelix
(Only on Non US Market)",Plenaxis,GnRH Antagonist,Cancer (prostate),http://www.ncbi.nlm.nih.gov/pubmed/?term=Abarelix+AND+(%22QT%22+OR+Torsad*),Possible Risk of TdP
Abiraterone,"Zytiga, Abiratas, Abretone, Abirapro",Anti-androgen,Cancer (Prostate),link,Conditional Risk of TdP
"Aclarubicin
(Only on Non US Market)","Aclacin, Aclacinomycine, Aclacinon, Aclaplastin, Jaclacin",Anti-cancer,Cancer,link,Known Risk of TdP
Adagrasib,Krazati,RAS GTPase inhibitor,"cancer, non-small cell lung",link,Possible Risk of TdP
Alfuzosin,Uroxatral,Alpha-1 adrenergic blocker,Benign prostatic hyperplasia,link,Possible Risk of TdP
"Alimemazine (Trimeprazine)
(Only on Non US Market)","Nedeltran, Panectyl, Repeltin, Therafene, Theraligene, Theralen, Theralene, Vallergan, Vanectyl, Temaril",Antihistamine,Allergy,link,Possible Risk of TdP
Amantadine,"Symmetrel, Symadine",Antiviral,"Viral infection (Influenza), Parkinson's disease",link,Conditional Risk of TdP
Amiodarone,"Cordarone, Pacerone, Nexterone",Antiarrhythmic,Arrhythmia,link,Known Risk of TdP
Amisulpride,"Barhemsys, Solian, Supitac, Soltus, Amitrex, Amazeo","Antiemetic, Antipsychotic","Nausea and vomiting, postoperative",link,Conditional Risk of TdP
Amitriptyline,"Elavil (Discontinued 6/13), Tryptomer, Tryptizol, Laroxyl, Saroten, Sarotex Lentizol, Endep","Antidepressant, Tricyclic",Depression,link,Conditional Risk of TdP
Amphotericin B,"Fungilin, Fungizone, Abelcet, AmBisome, Fungisome, Amphocil, Amphotec",Antifungal,Fungal infection,link,Conditional Risk of TdP
"Amsacrine (Acridinyl anisidide)
(Only on Non US Market)",Amsidine,Antineoplastic Agent,Cancer (Acute Lymphoblastic Leukemia),link,Conditional Risk of TdP
Anagrelide,"Agrylin, Xagrid",Phosphodiesterase 3 inhibitor,Thrombocythemia,link,Known Risk of TdP
Apalutamide,Erleada,nonsteroidal antiandrogen,Cancer (prostate),link,Possible Risk of TdP
Apomorphine,"Apokyn, Ixense, Spontane, Uprima",Dopamine agonist,Parkinson's disease,link,Possible Risk of TdP
Aripiprazole,"Abilify, Aripiprex","Antipsychotic, atypical","Schizophrenia, depression (adjunct)",link,Possible Risk of TdP
Arsenic trioxide,Trisenox,Anti-cancer,Cancer (leukemia),link,Known Risk of TdP
Artemether/Lumefantrine,Coartem,Anti-malarial,Marlaria,link,Possible Risk of TdP
"Artenimol/piperaquine
(Only on Non US Market)",Eurartesim,Antimalarial,Malaria,link,Possible Risk of TdP
Asenapine,"Saphris, Sycrest","Antipsychotic, atypical",Schizophrenia,link,Possible Risk of TdP
"Astemizole
(Removed from US Market)",Hismanal,Antihistamine,Allergic rhinitis,link,Known Risk of TdP
Atazanavir,"Reyataz, Evotaz",Antiviral,Viral infection (HIV/AIDS),link,Conditional Risk of TdP
Atomoxetine,Strattera,CNS stimulant,ADHD,link,Possible Risk of TdP
Azithromycin,"Zithromax, Zmax",Antibiotic,Bacterial infection,link,Known Risk of TdP
Bedaquiline,Sirturo,Antibiotic,"Tuberculosis, Multi-drug resistant",link,Possible Risk of TdP
Bendamustine,"Treanda, Treakisym, Ribomustin, Levact",Anti-cancer,"Cancer (Leukemia, lymphoma)",link,Possible Risk of TdP
Bendroflumethiazide (Bendrofluazide),"Aprinox, Corzide","Diuretic, thiazide","Hypertension, diuresis",link,Conditional Risk of TdP
"Bepridil
(Removed from US Market)",Vascor,Antianginal,Angina Pectoris (heart pain),link,Known Risk of TdP
"Betrixaban
(Removed from US Market)",Bevyxxa,Anticoagulant,Anticoagulant,link,Possible Risk of TdP
Bicalutamide,Casodex,Anti-androgen,Cancer (prostate),link,Possible Risk of TdP
"Bilastine
(Only on Non US Market)","Allertine, Blexten, Bilasten, Borenar, Ilaxten, Nixar",Antihistamine,Allergy,link,Possible Risk of TdP
Bortezomib (Bortexomib),"Velcade, Bortecad",Proteasome inhibitor,"Cancer (multiple myeloma,lymphoma)",link,Possible Risk of TdP
Bosutinib,Bosulif,Anti-cancer,Cancer (leukemia),link,Possible Risk of TdP
Buprenorphine,"Butrans, Belbuca, Bunavail, Buprenex, Subutex, Suboxone, Zubsolv",Opioid agonist,"Narcotic dependence, pain",link,Possible Risk of TdP
Cabozantinib,Cometriq,Anti-cancer,Cancer (renal cell),link,Possible Risk of TdP
Capecitabine,Xeloda,Anti-cancer,"Cancer (GI, Breast)",link,Possible Risk of TdP
